RatingID,SongID,UserID,Rating,ReviewDate
301,1111,18983208,4.80,2005-01-13
302,1111,37437849,4.70,2005-02-09
303,1111,68989430,4.20,2010-09-18
304,1112,88196267,4.40,2018-10-12
305,1112,62145320,4.60,2019-01-22
306,1112,86246535,3.70,2017-03-31
307,1113,58192554,4.90,2020-06-24
308,1113,99802145,5.00,2023-10-19
309,1113,71920293,5.00,2019-11-14
310,1114,66203440,4.90,2002-11-11
311,1114,44001355,3.90,1989-04-30
312,1114,88196267,4.40,2003-09-30
313,1115,14661113,4.20,2018-12-25
314,1115,86465466,4.10,2023-10-23
315,1115,68989430,3.50,2023-10-15
316,1116,73249313,2.50,2004-08-08
317,1117,98526216,2.60,2004-07-07
318,1117,32262495,1.00,2006-06-06
319,1121,66203440,1.10,2012-07-21
320,1121,18418073,1.90,2004-06-23
321,1121,18418073,3.60,2023-05-28
322,1116,32262495,2.90,2005-05-17
323,1116,88196267,5.00,2013-03-02
324,1117,71920293,5.00,2017-09-15
3011,1111,58192554,4.50,2001-01-01
3021,1111,71920293,4.60,2012-03-12
3031,1111,13361601,5.00,2022-01-13
3041,1112,33407476,4.00,2015-04-18
3051,1112,81443060,5.00,2017-05-29
3061,1112,44001355,4.10,2016-07-04
3071,1113,99802145,3.50,2014-09-21
3081,1113,46691274,3.60,2010-08-15
3091,1113,39357475,4.90,2015-10-31
3101,1114,54314743,5.00,2013-12-05
3111,1114,39357475,5.00,2010-02-08
3121,1114,39357475,3.70,2005-03-17
3131,1115,79472726,3.90,2005-03-17
3141,1115,71920293,4.20,2018-04-23
3151,1115,73249313,4.30,2015-05-30
3161,1116,54314743,4.30,2004-06-06
3171,1116,13361601,4.50,2009-07-16
3181,1116,46691274,4.80,2016-08-18
3191,1117,44001355,4.10,2012-09-24
3201,1117,33407476,5.00,2015-10-02
3211,1117,86246535,4.10,2001-12-07
3221,1121,81443060,5.00,2009-02-14
3231,1121,62145320,5.00,2016-03-20
3241,1121,13361601,4.80,2012-04-09
